"ITTER107","Territorio","TIPO_DATO4","Tipologia aggregato","BRANCA_ATTIVITAREV2","Ateco 2007","INQUINANTI","Elementi inquinanti/temi ambientali","FREQUENCY","Periodicità","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","AEEIS_T","emissioni atmosferiche - temi ambientali","G","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","GRHO","effetto serra (ton di CO2 equivalenti)","A","annuale","2021M1","Gen-2021","2019","2019",16013198.3,"p","dato provvisorio"
"IT","Italia","AE_T","emissioni atmosferiche - (tonnellate)","G45","commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli","CH4","metano","A","annuale","2021M1","Gen-2021","2019","2019",32.5,"p","dato provvisorio"
"IT","Italia","AE_T","emissioni atmosferiche - (tonnellate)","G45","commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli","NH3","ammoniaca","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AE_T","emissioni atmosferiche - (tonnellate)","G46","commercio all'ingrosso, escluso quello di autoveicoli e di motocicli","CH4","metano","A","annuale","2021M1","Gen-2021","2019","2019",906,"p","dato provvisorio"
"IT","Italia","AE_T","emissioni atmosferiche - (tonnellate)","G46","commercio all'ingrosso, escluso quello di autoveicoli e di motocicli","NH3","ammoniaca","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AE_T","emissioni atmosferiche - (tonnellate)","G46","commercio all'ingrosso, escluso quello di autoveicoli e di motocicli","PM10","particolato","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","C21","fabbricazione di prodotti farmaceutici di base e di preparati farmaceutici","HG","mercurio (Hg)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","C21","fabbricazione di prodotti farmaceutici di base e di preparati farmaceutici","SE","selenio (Se)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AE_T","emissioni atmosferiche - (tonnellate)","C22_23","fabbricazione di articoli in gomma e materie plastiche e altri prodotti della lavorazione di minerali non metalliferi","PM10","particolato","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","C22_23","fabbricazione di articoli in gomma e materie plastiche e altri prodotti della lavorazione di minerali non metalliferi","AS","arsenico (As)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
